AK4_pt	AK8_pt	H_t	t_tag	b_tag	Minv	signal
39.8125	327.5	39.8125	4.131347e-06	0.30908203	0.6664557911270919	False
71.0	338.25	71.0	0.0023021698	0.9995117	1.421797084874953	False
25.9375	264.75	25.9375	1.8943101e-06	0.09625244	3.680240234688469	False
27.765625	179.75	27.765625	0.00012493134	0.41674805	1.0043585190986875	False
59.5	227.25	141.875	0.17578125	0.9980469	8.299717120688783	False
49.25	367.0	49.25	0.00024354458	0.074279785	0.10843646097204385	False
55.375	310.5	55.375	0.012817383	0.9301758	1.2202407731162879	False
48.28125	208.625	48.28125	1.5676022e-05	0.30664062	0.7661804720840308	False
57.28125	235.5	57.28125	1.1369586e-05	0.072509766	2.053274353275512	False
128.5	233.25	128.5	6.788969e-05	0.4428711	1.1087155819972452	False
28.8125	171.75	28.8125	0.0003876686	0.49243164	2.342996819548034	False
78.5625	392.25	78.5625	0.009521484	0.19909668	2.8515094328961226	False
95.0625	257.25	95.0625	7.458031e-06	0.99902344	0.5549492228821009	False
63.90625	183.375	63.90625	4.2305328e-07	0.31225586	2.221530361945014	False
25.25	211.25	25.25	0.0007638931	0.4519043	2.5970183230370907	False
29.90625	498.0	29.90625	4.9266964e-07	0.05053711	2.3989183914887207	False
45.90625	205.125	45.90625	0.0038471222	0.09832764	3.9880429924834715	False
38.25	193.125	38.25	7.593632e-05	0.06903076	0.025114353455848004	False
30.890625	360.0	30.890625	2.4139881e-05	0.9916992	8.828828284386347	False
45.25	328.0	45.25	0.018127441	0.9995117	2.540717878938935	False
31.125	298.75	31.125	0.0004351139	0.06628418	0.1868076843384472	False
27.09375	189.875	27.09375	2.2053719e-05	0.062438965	2.8892773066460506	False
49.3125	303.5	49.3125	7.6182187e-06	0.04940796	8.370729104117785	False
27.171875	329.25	55.59375	0.029266357	0.105407715	3.0697974748098176	False
27.015625	254.125	27.015625	0.004337311	0.15026855	1.6581525606054015	False
51.0	427.75	51.0	0.000121593475	0.9682617	3.88707298794003	False
102.25	251.875	102.25	0.0024375916	0.0758667	0.7988115455288352	False
31.15625	178.625	31.15625	0.00010597706	0.054870605	2.122654031025945	False
56.53125	281.25	56.53125	0.0009560585	0.9794922	1.7260158934358856	False
29.328125	215.125	29.328125	6.747246e-05	0.06210327	3.7069473816694227	False
80.0625	258.75	80.0625	5.401671e-07	0.11791992	4.044715776656389	False
105.0	173.0	105.0	-10.0	0.98779297	1.9706843677446813	False
29.765625	186.0	125.640625	3.967434e-06	0.30541992	0.8057902377510402	False
64.5625	266.25	64.5625	0.0027637482	0.11254883	4.73382882484556	False
25.4375	249.625	25.4375	8.0645084e-05	0.05569458	5.779309166293345	False
27.453125	188.5	27.453125	1.6074628e-06	0.08782959	8.460711399655239	False
29.125	239.25	29.125	0.018035889	0.15222168	1.227917344449736	False
29.34375	270.0	77.0	0.00013029575	0.054016113	0.699507393889931	False
25.703125	526.0	116.015625	0.0005707741	0.75	0.21438860743695898	False
74.0	205.5	74.0	3.4302473e-05	0.07293701	3.027670383011511	False
58.75	186.375	58.75	0.0064811707	0.9995117	4.027960410329072	False
64.875	315.0	64.875	9.953976e-06	0.13757324	3.443778732022082	False
25.75	585.0	25.75	0.05444336	0.18823242	2.0906110139503937	False
25.484375	312.5	63.890625	8.094311e-05	0.09674072	4.6272863780114335	False
29.09375	175.875	29.09375	0.00083065033	0.0715332	1.5973856274411702	False
25.234375	343.5	25.234375	6.9588423e-06	0.48779297	2.9113840236926904	False
81.875	182.625	81.875	6.818771e-05	0.059631348	0.23384783690679	False
53.625	407.75	53.625	4.157424e-06	0.29125977	0.7100516065176663	False
119.5	387.75	119.5	1.1920929e-06	0.8276367	0.7336234260201877	False
33.40625	194.875	33.40625	3.6418438e-05	0.15673828	1.9232819143060595	False
26.09375	340.25	26.09375	2.7611852e-05	0.06021118	1.9890742118734437	False
39.28125	182.625	104.34375	0.03970337	0.09338379	0.7821461528553755	False
29.765625	178.125	29.765625	4.6449713e-08	0.099853516	1.7830368018468903	False
28.015625	238.625	28.015625	0.00046372414	0.097473145	3.390410386118475	False
27.90625	185.125	27.90625	1.3381243e-05	0.15588379	0.3844910709592	False
36.1875	175.5	36.1875	1.244247e-06	0.05923462	1.579773800698348	False
148.875	392.25	148.875	0.85839844	0.11468506	5.51358835141842	False
31.40625	183.625	31.40625	0.0022716522	0.08685303	1.5900997471295426	False
33.5625	288.0	33.5625	2.990663e-05	0.44311523	3.5893888374066165	False
35.21875	182.0	35.21875	0.0028133392	0.053100586	1.2364843408643509	False
61.03125	172.125	137.84375	2.1699816e-06	0.1104126	2.525712042418405	False
113.5625	190.625	113.5625	0.00049352646	0.3173828	0.10074680401561409	False
49.9375	383.5	49.9375	5.3900294e-08	0.31201172	1.6722232067235296	False
30.84375	471.5	30.84375	0.0010662079	0.062316895	1.9892740028348754	False
47.34375	250.0	47.34375	0.0012865067	0.09094238	0.3445792989944749	False
