lep_pt	AK8_pt	t32	Msd	Flag	genWeights	sumWeight	N_exp
144.35228	229.375	0.7847176	72.125		0.49554962	209709.69	35563
182.11166	271.25	0.93568075	3.6835938		0.49554962	209709.69	35563
118.33608	238.0	0.9118127	76.3125		0.49554962	209709.69	35563
113.17991	229.25	0.68429893	46.8125	d	0.49554962	209709.69	35563
43.089123	231.75	0.54499406	91.625		0.49554962	209709.69	35563
146.16632	187.75	0.88301045	-1.0		-0.49554962	209709.69	35563
144.9495	277.75	0.8720801	4.4375	d	0.49554962	209709.69	35563
100.34461	220.25	0.727216	5.3164062		0.49554962	209709.69	35563
135.0923	227.25	0.7657025	60.5625		-0.49554962	209709.69	35563
180.88197	223.875	0.8528916	90.875	b	0.49554962	209709.69	35563
68.11451	294.5	0.24987283	128.5	b	-0.49554962	209709.69	35563
194.90047	276.75	0.81703705	14.7578125	d	0.49554962	209709.69	35563
90.32882	190.5	0.897865	14.109375	d	0.49554962	209709.69	35563
88.9082	196.75	0.8958944	5.3632812	c	0.49554962	209709.69	35563
71.78501	314.5	0.7665692	69.3125		0.49554962	209709.69	35563
135.79164	195.375	0.94367415	46.9375		-0.49554962	209709.69	35563
159.15608	205.375	0.7387239	3.8320312		0.49554962	209709.69	35563
136.91359	265.5	0.8946797	116.0	d	-0.49554962	209709.69	35563
63.318645	223.25	0.93846154	84.3125	b	0.49554962	209709.69	35563
34.529297	249.125	0.6172	124.375		0.49554962	209709.69	35563
79.76901	213.375	0.882254	16.828125		0.49554962	209709.69	35563
72.575645	185.25	0.8353272	33.1875		0.49554962	209709.69	35563
81.36068	222.25	0.8098859	67.8125	b	0.49554962	209709.69	35563
503.32718	415.75	0.85582525	85.375	b	0.49554962	209709.69	35563
146.44395	370.5	0.64066565	160.25		0.49554962	209709.69	35563
125.82745	256.25	0.7955454	105.5625		-0.49554962	209709.69	35563
78.7671	232.25	0.8136696	5.578125		0.49554962	209709.69	35563
298.78812	469.5	0.80187124	13.9609375	d	-0.49554962	209709.69	35563
175.46646	300.0	0.7460177	61.9375	b	0.49554962	209709.69	35563
454.39188	369.75	0.8043478	120.375		0.49554962	209709.69	35563
220.81966	338.75	0.75140184	95.1875		-0.49554962	209709.69	35563
60.773525	212.875	0.8668503	97.8125	b	-0.49554962	209709.69	35563
148.77109	275.25	0.8509447	4.6484375		0.49554962	209709.69	35563
37.713543	811.5	0.3848788	205.875	a	0.49554962	209709.69	35563
59.71897	632.0	0.3894687	161.625	a	0.49554962	209709.69	35563
320.37903	470.5	0.66075826	198.25		0.49554962	209709.69	35563
186.04057	398.25	0.30084747	200.5	a	0.49554962	209709.69	35563
48.314335	274.25	0.65976334	0.27661133	d	0.49554962	209709.69	35563
281.70847	368.0	0.5832869	151.375		0.49554962	209709.69	35563
226.385	326.75	0.79860467	37.65625		0.49554962	209709.69	35563
69.23118	379.0	0.7394958	152.5		0.49554962	209709.69	35563
126.378365	440.5	0.35405406	173.75	a	0.49554962	209709.69	35563
150.23488	559.5	0.5191147	129.625		0.49554962	209709.69	35563
94.33424	229.75	0.71656233	41.03125	c	-0.49554962	209709.69	35563
189.99518	336.25	0.6864072	110.25	b	-0.49554962	209709.69	35563
213.14711	287.5	0.8321748	4.4765625	d	0.49554962	209709.69	35563
86.71126	198.875	0.85167074	10.1328125	d	0.49554962	209709.69	35563
275.61688	265.25	0.7945946	3.4042969	d	0.49554962	209709.69	35563
244.83385	386.0	0.36505598	175.375	a	0.49554962	209709.69	35563
87.16643	441.0	0.916501	138.25		0.49554962	209709.69	35563
165.98503	383.5	0.8262463	117.5625		-0.49554962	209709.69	35563
249.00682	221.5	0.4874477	81.0625		0.49554962	209709.69	35563
37.178795	226.0	0.91803277	45.9375	c	0.49554962	209709.69	35563
105.24502	270.5	0.82994926	1.2441406	d	0.49554962	209709.69	35563
86.66271	188.125	0.60016835	76.5		0.49554962	209709.69	35563
194.1243	209.625	0.78810227	3.3300781		0.49554962	209709.69	35563
101.258026	214.5	0.6290427	1.8710938	d	-0.49554962	209709.69	35563
121.18467	227.125	0.66423076	80.4375		0.49554962	209709.69	35563
77.82763	186.75	0.89814353	31.359375	c	0.49554962	209709.69	35563
165.53539	220.25	0.6901961	87.1875	c	-0.49554962	209709.69	35563
383.95117	452.25	0.799709	174.0		0.49554962	209709.69	35563
203.80882	211.5	0.6717357	39.8125		-0.49554962	209709.69	35563
153.4246	209.0	0.66369635	0.06976318	d	0.49554962	209709.69	35563
49.38766	325.0	0.8322216	92.125	b	0.49554962	209709.69	35563
323.12115	400.25	0.6620263	144.75		0.49554962	209709.69	35563
165.41074	282.75	0.87855494	96.9375		0.49554962	209709.69	35563
94.12442	192.125	0.86142004	43.21875		0.49554962	209709.69	35563
41.646427	197.25	0.9048276	41.84375	c	-0.49554962	209709.69	35563
115.56921	569.0	0.434583	141.125	a	0.49554962	209709.69	35563
111.495125	249.375	0.6188119	108.4375	d	0.49554962	209709.69	35563
192.44102	188.75	0.76183844	48.90625		-0.49554962	209709.69	35563
386.14847	395.0	0.41427767	168.875	a	0.49554962	209709.69	35563
77.39703	193.375	0.67477876	-1.0	d	-0.49554962	209709.69	35563
148.22366	249.375	0.62616533	94.0625	b	0.49554962	209709.69	35563
240.46774	290.5	0.80959916	81.125	b	0.49554962	209709.69	35563
91.06516	186.125	0.83160466	24.515625	c	0.49554962	209709.69	35563
341.19128	277.5	0.7574431	13.671875	d	-0.49554962	209709.69	35563
188.88263	302.0	0.70694226	96.0625		0.49554962	209709.69	35563
173.76903	210.5	0.5560145	57.78125	d	0.49554962	209709.69	35563
73.86488	598.0	0.8199595	83.4375	b	0.49554962	209709.69	35563
346.0479	628.5	0.4717538	191.875	a	0.49554962	209709.69	35563
286.9194	280.75	0.8512852	1.2958984		0.49554962	209709.69	35563
255.63644	300.25	0.6945755	24.421875	d	0.49554962	209709.69	35563
61.595592	198.5	0.79352623	-1.0	c	0.49554962	209709.69	35563
54.214066	373.5	0.850036	124.25		0.49554962	209709.69	35563
162.61935	418.25	0.63955027	126.5625		0.49554962	209709.69	35563
54.73417	207.25	0.91983414	1.7978516		-0.49554962	209709.69	35563
152.76851	308.75	0.4855136	133.875	a	-0.49554962	209709.69	35563
83.01787	209.5	0.87231296	69.9375		0.49554962	209709.69	35563
85.30305	189.75	0.73436195	71.375	b	0.49554962	209709.69	35563
109.40065	348.5	0.8863279	88.8125	b	-0.49554962	209709.69	35563
47.248417	229.5	0.7003003	0.08129883	d	-0.49554962	209709.69	35563
131.63403	208.875	0.7601654	49.21875	d	0.49554962	209709.69	35563
50.77114	192.625	0.8084642	64.875		0.49554962	209709.69	35563
161.61923	532.0	0.50733495	216.125	a	0.49554962	209709.69	35563
204.77254	338.75	0.7678474	154.125		0.49554962	209709.69	35563
183.36711	343.0	0.8467213	94.6875	b	0.49554962	209709.69	35563
56.301968	249.625	0.8560168	95.25		0.49554962	209709.69	35563
74.22301	218.875	0.6773481	77.125	b	-0.49554962	209709.69	35563
133.33493	212.75	0.8757143	88.75	c	0.49554962	209709.69	35563
81.74066	430.5	0.81377304	90.75		0.49554962	209709.69	35563
149.07141	195.375	0.8186916	-1.0		-0.49554962	209709.69	35563
101.66758	741.5	0.6774567	232.25	a	0.49554962	209709.69	35563
