lep_pt	AK8_pt	AK4_pt	GenT_pt	M_sd	genWeights	sumWeight	N_exp
108.40702	399.0	118.625	372.0	188.625	0.49554962	224808.1	35563
139.95604	309.0	57.5625	349.0	123.1875	-0.49554962	224808.1	35563
84.23992	481.25	134.25	364.0	156.25	0.49554962	224808.1	35563
72.77528	222.375	97.5	319.0	95.3125	0.49554962	224808.1	35563
150.02089	354.75	152.125	431.0	138.5	0.49554962	224808.1	35563
57.693573	390.75	76.9375	382.0	104.8125	0.49554962	224808.1	35563
53.97203	435.0	76.6875	441.0	168.375	0.49554962	224808.1	35563
177.08882	215.875	66.3125	272.0	52.75	0.49554962	224808.1	35563
79.975914	246.75	83.25	204.0	102.4375	-0.49554962	224808.1	35563
122.05617	422.5	140.875	362.0	150.875	0.49554962	224808.1	35563
109.416336	259.75	135.625	298.0	89.75	0.49554962	224808.1	35563
168.8032	267.5	129.875	305.0	112.0625	0.49554962	224808.1	35563
162.72742	225.25	99.8125	323.0	89.0625	0.49554962	224808.1	35563
228.01219	572.0	105.125	459.0	246.25	0.49554962	224808.1	35563
273.36243	311.75	50.34375	386.0	101.1875	0.49554962	224808.1	35563
97.40674	434.5	68.6875	463.0	136.5	0.49554962	224808.1	35563
73.493805	283.25	127.875	376.0	89.25	0.49554962	224808.1	35563
188.31615	266.75	118.25	302.0	111.25	-0.49554962	224808.1	35563
266.3416	609.5	77.875	624.0	134.125	0.49554962	224808.1	35563
60.97319	350.5	54.40625	374.0	99.75	-0.49554962	224808.1	35563
191.65665	221.75	111.625	292.0	86.5	0.49554962	224808.1	35563
65.48427	324.5	145.375	263.0	137.125	-0.49554962	224808.1	35563
96.45567	322.25	117.125	317.0	110.375	0.49554962	224808.1	35563
205.68079	340.75	94.125	385.0	109.1875	0.49554962	224808.1	35563
218.34274	305.5	123.6875	280.0	127.5625	0.49554962	224808.1	35563
148.94174	290.5	92.1875	353.0	91.875	-0.49554962	224808.1	35563
